ชื่ออาหาร,จำนวน,ราคา,มูลค่า
ข้าวจี่,2,149,298
ปลาร้าบอง,2,96,192
ปลาดุกย่าง,5,118,590
แกงอ่อม,3,121,363
แหนม,4,37,148
ลาบหมู,3,61,183
ไก่ย่าง,2,54,108
ปลาดุกย่าง,3,66,198
ข้าวจี่,1,87,87
น้ำตกหมู,2,128,256
แจ่วบอง,4,61,244
น้ำตกหมู,4,62,248
แจ่วบอง,5,110,550
ต้มแซ่บ,4,90,360
แกงอ่อม,1,148,148
ข้าวจี่,2,35,70
หมกหน่อไม้,5,52,260
ไก่ย่าง,1,143,143
ปลาร้าบอง,4,139,556
หมกหน่อไม้,4,134,536
แกงอ่อม,3,62,186
ลาบหมู,5,121,605
ลาบหมู,4,44,176
ต้มแซ่บ,5,39,195
ซุปหน่อไม้,1,106,106
แหนม,2,126,252
ตำแตง,2,58,116
ส้มตำ,2,77,154
ข้าวเหนียว,5,126,630
แหนม,1,72,72
ไก่ย่าง,4,70,280
หมกหน่อไม้,2,148,296
หมกหน่อไม้,1,136,136
ปลาร้าบอง,5,43,215
แกงอ่อม,4,57,228
แหนม,5,122,610
ปลาดุกย่าง,4,50,200
ข้าวเหนียว,4,88,352
ส้มตำ,3,110,330
แจ่วบอง,3,112,336
ลาบหมู,4,88,352
ตำไทย,5,112,560
ต้มแซ่บ,3,68,204
แหนม,5,138,690
แกงอ่อม,3,119,357
ตำแตง,1,143,143
ต้มแซ่บ,1,80,80
ต้มแซ่บ,3,119,357
ตำไทย,4,136,544
ไส้กรอกอีสาน,3,144,432
หมูยอ,2,129,258
น้ำตกหมู,3,139,417
ตำไทย,2,31,62
ต้มแซ่บ,4,79,316
ข้าวเหนียว,4,50,200
ลาบหมู,2,110,220
ต้มแซ่บ,5,83,415
ปลาร้าบอง,4,35,140
แหนม,5,128,640
น้ำตกหมู,5,66,330
ตำปู,2,58,116
น้ำตกหมู,4,108,432
ต้มแซ่บ,2,134,268
ไก่ย่าง,1,136,136
ข้าวจี่,4,94,376
ข้าวเหนียว,5,142,710
ไส้กรอกอีสาน,5,100,500
แหนม,5,92,460
ข้าวเหนียว,2,51,102
แกงอ่อม,5,76,380
ตำปู,4,94,376
ข้าวเหนียว,1,148,148
แจ่วบอง,4,133,532
หมูยอ,1,95,95
ปลาร้าบอง,3,100,300
หมกหน่อไม้,5,115,575
ไส้กรอกอีสาน,1,55,55
ข้าวจี่,1,111,111
แหนม,2,125,250
แจ่วบอง,3,95,285
ตำแตง,2,30,60
ลาบหมู,4,118,472
ข้าวจี่,1,32,32
ต้มแซ่บ,5,70,350
แกงอ่อม,2,108,216
ปลาร้าบอง,2,63,126
แกงอ่อม,5,111,555
แกงอ่อม,5,133,665
ปลาร้าบอง,4,137,548
ไส้กรอกอีสาน,3,89,267
ปลาร้าบอง,1,132,132
น้ำตกหมู,2,82,164
ก้อยปลา,3,74,222
ซุปหน่อไม้,1,50,50
หมูยอ,4,32,128
ต้มแซ่บ,3,113,339
ไส้กรอกอีสาน,1,128,128
แกงอ่อม,4,69,276
ส้มตำ,3,145,435
ตำปู,4,96,384
หมูยอ,5,45,225
หมูยอ,5,51,255
หมูยอ,4,44,176
ไก่ย่าง,2,114,228
ตำปู,3,112,336
ปลาร้าบอง,2,90,180
น้ำตกหมู,1,56,56
ปลาร้าบอง,2,41,82
ซุปหน่อไม้,3,46,138
ไก่ย่าง,4,113,452
ไส้กรอกอีสาน,4,114,456
แหนม,5,103,515
ต้มแซ่บ,1,72,72
น้ำตกหมู,5,46,230
ตำแตง,4,117,468
ปลาร้าบอง,4,43,172
ซุปหน่อไม้,2,64,128
ข้าวจี่,4,42,168
ปลาร้าบอง,4,87,348
ตำไทย,3,98,294
ส้มตำ,3,130,390
ข้าวจี่,4,75,300
ปลาร้าบอง,4,62,248
ไก่ย่าง,4,50,200
ข้าวเหนียว,1,112,112
หมกหน่อไม้,5,138,690
แหนม,5,129,645
ข้าวจี่,1,114,114
ตำปู,1,49,49
ตำแตง,3,75,225
แจ่วบอง,3,100,300
ข้าวจี่,1,117,117
ข้าวเหนียว,4,45,180
ตำแตง,3,105,315
ไก่ย่าง,2,42,84
น้ำตกหมู,4,74,296
ปลาดุกย่าง,2,76,152
ปลาร้าบอง,1,76,76
แกงอ่อม,1,119,119
หมูยอ,2,70,140
ตำปู,4,104,416
ต้มแซ่บ,2,39,78
ซุปหน่อไม้,4,94,376
แจ่วบอง,5,138,690
หมกหน่อไม้,2,72,144
ปลาดุกย่าง,5,146,730
แหนม,5,33,165
แหนม,3,61,183
หมกหน่อไม้,4,67,268
ตำไทย,4,71,284
ปลาร้าบอง,4,146,584
ตำไทย,3,111,333
ปลาดุกย่าง,1,135,135
น้ำตกหมู,2,145,290
แกงอ่อม,2,125,250
แจ่วบอง,2,68,136
ปลาร้าบอง,3,120,360
แหนม,1,97,97
ปลาร้าบอง,5,30,150
ตำแตง,5,37,185
ข้าวเหนียว,1,45,45
ข้าวเหนียว,3,86,258
แกงอ่อม,5,60,300
ซุปหน่อไม้,1,49,49
ตำปู,4,47,188
ข้าวเหนียว,2,55,110
ส้มตำ,5,149,745
แกงอ่อม,2,42,84
ตำปู,4,63,252
ต้มแซ่บ,5,149,745
ปลาร้าบอง,4,73,292
ตำไทย,1,136,136
ตำปู,2,95,190
ข้าวเหนียว,5,105,525
ส้มตำ,5,50,250
น้ำตกหมู,2,147,294
แจ่วบอง,1,109,109
แหนม,4,114,456
ข้าวเหนียว,4,116,464
หมกหน่อไม้,5,86,430
น้ำตกหมู,4,31,124
ก้อยปลา,3,32,96
ส้มตำ,4,71,284
ลาบหมู,4,138,552
แจ่วบอง,1,48,48
ตำปู,5,142,710
แจ่วบอง,2,84,168
ข้าวจี่,4,128,512
ปลาร้าบอง,3,34,102
ข้าวจี่,2,88,176
น้ำตกหมู,2,148,296
ซุปหน่อไม้,2,87,174
หมกหน่อไม้,5,124,620
ปลาดุกย่าง,4,47,188
ลาบหมู,1,63,63
ข้าวเหนียว,3,146,438
ตำไทย,3,139,417
แกงอ่อม,4,31,124
หมกหน่อไม้,1,142,142
ต้มแซ่บ,5,143,715
ตำปู,5,100,500
แจ่วบอง,1,64,64
ข้าวเหนียว,3,115,345
ลาบหมู,3,131,393
ปลาดุกย่าง,4,91,364
ไก่ย่าง,2,116,232
ข้าวเหนียว,5,40,200
ไส้กรอกอีสาน,1,138,138
ตำไทย,2,102,204
ปลาร้าบอง,2,141,282
หมกหน่อไม้,4,128,512
แกงอ่อม,1,132,132
ซุปหน่อไม้,2,87,174
ข้าวเหนียว,3,112,336
แหนม,1,117,117
ตำปู,2,141,282
แจ่วบอง,3,44,132
หมกหน่อไม้,4,60,240
ปลาร้าบอง,1,35,35
ข้าวเหนียว,2,55,110
ลาบหมู,1,142,142
ตำปู,4,71,284
ไก่ย่าง,2,95,190
ส้มตำ,4,111,444
น้ำตกหมู,1,58,58
ไส้กรอกอีสาน,3,30,90
ซุปหน่อไม้,2,47,94
ข้าวเหนียว,3,66,198
ไส้กรอกอีสาน,5,50,250
ซุปหน่อไม้,1,146,146
ไส้กรอกอีสาน,2,66,132
น้ำตกหมู,2,67,134
ตำแตง,4,140,560
แกงอ่อม,5,54,270
แหนม,1,150,150
ตำแตง,5,65,325
ตำปู,5,49,245
แหนม,5,49,245
ข้าวเหนียว,1,62,62
ตำแตง,5,86,430
น้ำตกหมู,4,124,496
ปลาร้าบอง,3,144,432
ปลาร้าบอง,1,100,100
ตำไทย,1,36,36
น้ำตกหมู,1,42,42
ข้าวเหนียว,2,75,150
ลาบหมู,1,135,135
ซุปหน่อไม้,1,148,148
ตำแตง,5,88,440
ซุปหน่อไม้,3,142,426
หมูยอ,5,53,265
ลาบหมู,2,113,226
ซุปหน่อไม้,2,113,226
ปลาร้าบอง,2,133,266
ตำไทย,1,57,57
ลาบหมู,4,46,184
ตำไทย,5,78,390
ไก่ย่าง,3,48,144
ปลาดุกย่าง,3,79,237
แหนม,1,39,39
ตำแตง,1,90,90
ตำไทย,5,136,680
ส้มตำ,3,128,384
แกงอ่อม,1,66,66
ไก่ย่าง,2,37,74
ตำแตง,5,103,515
แกงอ่อม,1,62,62
ตำแตง,3,110,330
ปลาดุกย่าง,3,150,450
ซุปหน่อไม้,2,111,222
ตำแตง,4,103,412
ส้มตำ,3,86,258
ก้อยปลา,3,103,309
ข้าวเหนียว,5,61,305
ข้าวเหนียว,5,66,330
ปลาร้าบอง,2,57,114
ซุปหน่อไม้,3,113,339
น้ำตกหมู,2,78,156
หมูยอ,2,130,260
ลาบหมู,2,112,224
ข้าวเหนียว,4,80,320
ปลาดุกย่าง,2,70,140
ข้าวจี่,2,111,222
ก้อยปลา,3,120,360
ไก่ย่าง,4,99,396
ข้าวเหนียว,4,105,420
ข้าวเหนียว,2,98,196
ต้มแซ่บ,2,96,192
แกงอ่อม,5,68,340
ปลาร้าบอง,4,113,452
ตำไทย,1,142,142
ข้าวเหนียว,5,64,320
ไก่ย่าง,3,64,192
ข้าวจี่,3,131,393
ก้อยปลา,4,115,460
ส้มตำ,1,72,72
ก้อยปลา,4,110,440
ไส้กรอกอีสาน,3,144,432
แหนม,5,105,525
ซุปหน่อไม้,4,48,192
ปลาดุกย่าง,5,82,410
ส้มตำ,3,53,159
ข้าวจี่,3,141,423
แหนม,4,88,352
ไก่ย่าง,1,70,70
ตำไทย,1,50,50
ไก่ย่าง,4,138,552
น้ำตกหมู,1,65,65
ปลาร้าบอง,3,96,288
ปลาร้าบอง,3,122,366
ข้าวเหนียว,4,62,248
ตำปู,3,108,324
ต้มแซ่บ,5,126,630
ตำปู,3,88,264
แจ่วบอง,5,90,450
ต้มแซ่บ,4,47,188
หมูยอ,1,86,86
ตำปู,1,142,142
ตำแตง,2,64,128
ข้าวจี่,1,147,147
หมกหน่อไม้,3,31,93
ข้าวเหนียว,5,142,710
ลาบหมู,5,85,425
ส้มตำ,4,106,424
ปลาร้าบอง,4,73,292
ตำไทย,5,100,500
ปลาร้าบอง,2,141,282
ตำแตง,3,125,375
ปลาดุกย่าง,3,97,291
ข้าวเหนียว,5,96,480
แกงอ่อม,5,83,415
ลาบหมู,3,88,264
ต้มแซ่บ,2,63,126
แหนม,2,71,142
ตำปู,1,106,106
ไก่ย่าง,5,126,630
แจ่วบอง,4,141,564
ตำปู,4,66,264
หมกหน่อไม้,1,85,85
แหนม,2,124,248
ตำแตง,5,112,560
ไก่ย่าง,3,115,345
หมูยอ,4,43,172
หมกหน่อไม้,4,112,448
ต้มแซ่บ,1,127,127
แกงอ่อม,4,148,592
หมูยอ,4,141,564
แกงอ่อม,2,105,210
หมูยอ,3,60,180
น้ำตกหมู,1,114,114
แหนม,4,86,344
หมกหน่อไม้,4,75,300
ไส้กรอกอีสาน,2,61,122
ไก่ย่าง,5,81,405
แหนม,3,49,147
ข้าวเหนียว,5,150,750
ซุปหน่อไม้,1,43,43
ปลาร้าบอง,1,67,67
หมกหน่อไม้,4,58,232
หมกหน่อไม้,5,108,540
ลาบหมู,4,146,584
ตำแตง,2,99,198
ตำปู,4,76,304
ซุปหน่อไม้,5,77,385
ไก่ย่าง,3,121,363
แกงอ่อม,4,124,496
ตำปู,5,76,380
แจ่วบอง,2,119,238
แจ่วบอง,2,64,128
ก้อยปลา,1,102,102
ส้มตำ,2,71,142
ข้าวจี่,5,106,530
แหนม,1,82,82
ปลาดุกย่าง,5,58,290
ต้มแซ่บ,5,118,590
ตำไทย,4,98,392
ปลาร้าบอง,2,103,206
ตำปู,5,101,505
ข้าวเหนียว,5,50,250
ไส้กรอกอีสาน,2,146,292
ลาบหมู,1,94,94
ตำแตง,4,57,228
ไส้กรอกอีสาน,1,139,139
ซุปหน่อไม้,5,77,385
แหนม,4,79,316
แหนม,2,81,162
น้ำตกหมู,4,96,384
แหนม,1,98,98
แจ่วบอง,3,52,156
ปลาร้าบอง,5,60,300
ส้มตำ,2,95,190
ไส้กรอกอีสาน,5,32,160
ข้าวเหนียว,5,148,740
ข้าวเหนียว,1,55,55
หมูยอ,3,56,168
ไก่ย่าง,5,145,725
ข้าวเหนียว,2,55,110
ข้าวเหนียว,4,128,512
ข้าวจี่,5,38,190
ต้มแซ่บ,2,34,68
ไส้กรอกอีสาน,1,88,88
ตำปู,5,53,265
ลาบหมู,5,31,155
ไส้กรอกอีสาน,1,41,41
หมูยอ,2,50,100
ไก่ย่าง,4,137,548
หมูยอ,1,65,65
น้ำตกหมู,2,59,118
ซุปหน่อไม้,1,68,68
ตำไทย,1,131,131
แกงอ่อม,3,36,108
ไก่ย่าง,3,44,132
ส้มตำ,4,111,444
ต้มแซ่บ,2,58,116
ซุปหน่อไม้,5,86,430
ข้าวเหนียว,1,105,105
ข้าวจี่,4,41,164
แกงอ่อม,3,54,162
ข้าวจี่,3,131,393
ข้าวจี่,3,61,183
หมูยอ,5,144,720
ปลาดุกย่าง,1,75,75
หมูยอ,4,75,300
ข้าวจี่,1,107,107
ส้มตำ,1,112,112
ส้มตำ,3,125,375
ไส้กรอกอีสาน,3,71,213
หมูยอ,5,124,620
น้ำตกหมู,5,107,535
แจ่วบอง,5,55,275
แกงอ่อม,5,138,690
ตำปู,4,102,408
ก้อยปลา,1,65,65
ก้อยปลา,5,59,295
หมกหน่อไม้,3,47,141
ไก่ย่าง,5,76,380
ข้าวเหนียว,4,73,292
ซุปหน่อไม้,5,36,180
ซุปหน่อไม้,3,138,414
หมกหน่อไม้,2,87,174
ต้มแซ่บ,5,84,420
แกงอ่อม,5,127,635
ตำแตง,2,55,110
ตำไทย,4,106,424
ข้าวจี่,5,92,460
แจ่วบอง,2,39,78
ข้าวจี่,5,135,675
ปลาดุกย่าง,2,45,90
หมูยอ,1,79,79
หมกหน่อไม้,5,121,605
ตำปู,3,112,336
ข้าวจี่,3,55,165
ส้มตำ,4,41,164
ก้อยปลา,2,34,68
ซุปหน่อไม้,5,146,730
ลาบหมู,1,94,94
ส้มตำ,5,121,605
หมกหน่อไม้,4,35,140
แจ่วบอง,1,125,125
แจ่วบอง,2,103,206
แจ่วบอง,5,89,445
ตำปู,5,105,525
ข้าวจี่,5,50,250
แกงอ่อม,4,108,432
ปลาดุกย่าง,1,131,131
ลาบหมู,2,101,202
ส้มตำ,1,61,61
หมกหน่อไม้,1,102,102
หมูยอ,1,68,68
แหนม,4,132,528
ข้าวเหนียว,5,58,290
ข้าวเหนียว,4,58,232
ไก่ย่าง,5,54,270
ส้มตำ,5,82,410
หมูยอ,4,54,216
หมกหน่อไม้,2,77,154
ส้มตำ,4,103,412
ตำไทย,3,123,369
หมูยอ,3,111,333
ลาบหมู,1,41,41
น้ำตกหมู,1,100,100
ส้มตำ,4,149,596
ไส้กรอกอีสาน,1,33,33
ตำปู,5,30,150
ข้าวเหนียว,4,40,160
แจ่วบอง,1,94,94
ไส้กรอกอีสาน,1,69,69
ส้มตำ,1,98,98
ตำไทย,2,54,108
หมูยอ,4,141,564
ข้าวเหนียว,5,49,245
ข้าวจี่,4,70,280
แกงอ่อม,4,68,272
น้ำตกหมู,2,80,160
ปลาดุกย่าง,4,54,216
ปลาดุกย่าง,3,149,447
ตำไทย,4,47,188
ตำไทย,2,95,190
ส้มตำ,2,138,276
ปลาร้าบอง,2,142,284
ข้าวจี่,1,107,107
ปลาดุกย่าง,2,144,288
ซุปหน่อไม้,5,120,600
ไส้กรอกอีสาน,5,132,660
ปลาร้าบอง,3,83,249
ก้อยปลา,4,104,416
ตำไทย,2,110,220
ตำปู,4,72,288
ลาบหมู,4,117,468
ลาบหมู,5,129,645
ข้าวจี่,1,34,34
ลาบหมู,1,54,54
แหนม,5,132,660
ไส้กรอกอีสาน,5,103,515
ปลาดุกย่าง,5,130,650
ตำแตง,5,59,295
แกงอ่อม,5,83,415
หมกหน่อไม้,4,77,308
ซุปหน่อไม้,5,58,290
ข้าวจี่,1,74,74
แกงอ่อม,5,30,150
ลาบหมู,5,68,340
ส้มตำ,2,108,216
แจ่วบอง,3,41,123
ปลาร้าบอง,2,114,228
ก้อยปลา,5,64,320
ไส้กรอกอีสาน,5,50,250
ก้อยปลา,2,50,100
หมกหน่อไม้,3,103,309
ปลาร้าบอง,2,72,144
ตำปู,2,44,88
ก้อยปลา,1,130,130
ซุปหน่อไม้,2,86,172
ปลาร้าบอง,4,117,468
ไก่ย่าง,5,44,220
ปลาร้าบอง,1,39,39
ส้มตำ,4,33,132
หมกหน่อไม้,4,118,472
ข้าวเหนียว,2,72,144
หมกหน่อไม้,3,85,255
ตำแตง,4,88,352
น้ำตกหมู,1,98,98
ตำแตง,5,82,410
ซุปหน่อไม้,1,35,35
หมูยอ,1,75,75
ไส้กรอกอีสาน,1,105,105
ข้าวจี่,3,116,348
หมูยอ,4,39,156
ก้อยปลา,5,86,430
แหนม,2,89,178
ไส้กรอกอีสาน,5,92,460
ปลาดุกย่าง,4,39,156
ตำแตง,4,95,380
แกงอ่อม,5,115,575
ข้าวเหนียว,1,45,45
ลาบหมู,1,48,48
แหนม,3,56,168
ไส้กรอกอีสาน,5,106,530
ไก่ย่าง,5,86,430
ปลาดุกย่าง,3,75,225
หมกหน่อไม้,4,61,244
ปลาร้าบอง,3,33,99
ตำปู,4,95,380
ปลาร้าบอง,2,78,156
น้ำตกหมู,3,133,399
ไส้กรอกอีสาน,1,100,100
แจ่วบอง,4,103,412
แจ่วบอง,5,99,495
ตำแตง,2,36,72
ตำปู,2,84,168
ตำไทย,1,123,123
แหนม,1,111,111
แกงอ่อม,3,70,210
ตำไทย,1,132,132
ตำแตง,1,80,80
ข้าวจี่,5,100,500
หมกหน่อไม้,4,90,360
ตำปู,5,91,455
ปลาร้าบอง,5,63,315
ข้าวจี่,4,104,416
แจ่วบอง,5,141,705
แกงอ่อม,4,125,500
ต้มแซ่บ,4,116,464
ต้มแซ่บ,5,63,315
ตำปู,3,42,126
ส้มตำ,2,41,82
ลาบหมู,1,137,137
หมกหน่อไม้,2,138,276
หมกหน่อไม้,1,115,115
หมกหน่อไม้,3,101,303
ลาบหมู,1,46,46
ปลาดุกย่าง,3,36,108
ลาบหมู,1,96,96
ส้มตำ,5,71,355
ลาบหมู,3,140,420
ก้อยปลา,4,103,412
ตำแตง,1,108,108
ตำปู,1,96,96
ตำไทย,3,57,171
แจ่วบอง,2,44,88
น้ำตกหมู,4,70,280
ส้มตำ,1,87,87
ข้าวจี่,5,118,590
ข้าวจี่,5,145,725
แกงอ่อม,5,42,210
ข้าวเหนียว,1,38,38
แกงอ่อม,5,42,210
ตำแตง,2,64,128
น้ำตกหมู,3,63,189
ส้มตำ,2,59,118
ปลาร้าบอง,2,122,244
น้ำตกหมู,3,107,321
ตำไทย,4,118,472
ต้มแซ่บ,3,124,372
ปลาดุกย่าง,3,70,210
หมูยอ,5,93,465
หมกหน่อไม้,5,115,575
ปลาดุกย่าง,1,145,145
ปลาร้าบอง,2,94,188
ตำไทย,4,116,464
ข้าวจี่,5,106,530
ส้มตำ,2,73,146
ตำไทย,5,37,185
แกงอ่อม,5,33,165
หมูยอ,4,82,328
หมูยอ,4,64,256
ลาบหมู,2,43,86
ข้าวเหนียว,1,77,77
ส้มตำ,3,120,360
ส้มตำ,2,73,146
น้ำตกหมู,1,101,101
ส้มตำ,5,103,515
ตำไทย,3,40,120
ลาบหมู,1,48,48
แกงอ่อม,1,49,49
ไก่ย่าง,5,143,715
ไส้กรอกอีสาน,1,136,136
ข้าวเหนียว,2,93,186
ข้าวจี่,2,89,178
ต้มแซ่บ,1,108,108
ส้มตำ,3,40,120
ปลาดุกย่าง,2,55,110
ตำปู,5,140,700
ตำแตง,3,140,420
หมูยอ,1,66,66
ไส้กรอกอีสาน,5,64,320
ก้อยปลา,4,138,552
ตำไทย,2,90,180
น้ำตกหมู,2,57,114
แจ่วบอง,5,113,565
ซุปหน่อไม้,4,121,484
ข้าวเหนียว,2,108,216
ต้มแซ่บ,2,138,276
ไก่ย่าง,4,128,512
ตำปู,1,72,72
ก้อยปลา,3,56,168
หมูยอ,2,138,276
แกงอ่อม,4,32,128
ไส้กรอกอีสาน,4,122,488
ตำไทย,4,85,340
ตำปู,4,130,520
น้ำตกหมู,5,142,710
หมกหน่อไม้,2,49,98
แกงอ่อม,2,118,236
แกงอ่อม,4,147,588
น้ำตกหมู,2,34,68
ไก่ย่าง,3,141,423
ปลาร้าบอง,3,113,339
ก้อยปลา,3,120,360
หมูยอ,4,70,280
ลาบหมู,4,111,444
แกงอ่อม,3,108,324
ตำปู,4,93,372
หมกหน่อไม้,5,124,620
ไส้กรอกอีสาน,2,133,266
ก้อยปลา,5,135,675
ลาบหมู,1,142,142
ไก่ย่าง,2,97,194
ส้มตำ,2,149,298
ต้มแซ่บ,5,120,600
หมกหน่อไม้,2,98,196
ไก่ย่าง,2,126,252
ตำปู,4,118,472
ลาบหมู,3,85,255
แจ่วบอง,4,54,216
ส้มตำ,2,55,110
ตำแตง,3,78,234
ข้าวจี่,5,74,370
ปลาดุกย่าง,3,77,231
ปลาร้าบอง,5,133,665
ซุปหน่อไม้,1,66,66
ปลาร้าบอง,5,61,305
ก้อยปลา,5,111,555
ปลาดุกย่าง,5,64,320
ก้อยปลา,3,143,429
ตำแตง,5,58,290
ต้มแซ่บ,4,75,300
แกงอ่อม,4,51,204
ข้าวเหนียว,3,94,282
แจ่วบอง,4,129,516
ซุปหน่อไม้,5,112,560
ไส้กรอกอีสาน,2,65,130
ก้อยปลา,5,147,735
แกงอ่อม,1,38,38
ปลาดุกย่าง,3,60,180
ตำปู,3,58,174
แกงอ่อม,3,124,372
ตำแตง,5,131,655
แจ่วบอง,4,121,484
หมูยอ,4,55,220
ตำแตง,1,86,86
ก้อยปลา,2,42,84
ปลาร้าบอง,4,134,536
ต้มแซ่บ,5,146,730
ข้าวเหนียว,4,94,376
ข้าวเหนียว,2,74,148
แหนม,1,42,42
แกงอ่อม,4,39,156
ลาบหมู,4,116,464
แจ่วบอง,3,150,450
แหนม,3,91,273
หมูยอ,1,77,77
แกงอ่อม,4,92,368
น้ำตกหมู,4,46,184
ปลาร้าบอง,4,127,508
น้ำตกหมู,5,121,605
ตำไทย,5,56,280
ตำแตง,1,39,39
ไส้กรอกอีสาน,2,96,192
หมูยอ,4,43,172
ไส้กรอกอีสาน,2,42,84
ซุปหน่อไม้,1,133,133
ลาบหมู,1,54,54
ข้าวจี่,2,66,132
แกงอ่อม,3,137,411
แกงอ่อม,1,137,137
หมูยอ,4,59,236
ไส้กรอกอีสาน,3,74,222
หมกหน่อไม้,4,64,256
หมกหน่อไม้,1,118,118
ซุปหน่อไม้,5,84,420
หมกหน่อไม้,2,114,228
ปลาดุกย่าง,2,32,64
แหนม,2,46,92
ลาบหมู,5,116,580
หมูยอ,1,91,91
ตำแตง,5,92,460
ปลาดุกย่าง,4,34,136
แจ่วบอง,3,65,195
หมูยอ,1,101,101
ตำไทย,2,88,176
ปลาดุกย่าง,1,86,86
ก้อยปลา,4,64,256
ไก่ย่าง,3,124,372
ปลาร้าบอง,3,105,315
ข้าวจี่,1,95,95
แกงอ่อม,4,74,296
ข้าวเหนียว,3,127,381
ไก่ย่าง,3,67,201
ตำไทย,3,81,243
ก้อยปลา,5,69,345
ลาบหมู,5,127,635
ลาบหมู,5,119,595
ข้าวเหนียว,1,93,93
แหนม,1,94,94
ไส้กรอกอีสาน,3,36,108
แหนม,1,63,63
ข้าวจี่,3,59,177
ส้มตำ,5,53,265
ไก่ย่าง,5,102,510
แกงอ่อม,2,149,298
ตำปู,4,111,444
แจ่วบอง,2,44,88
แหนม,3,47,141
ข้าวเหนียว,1,66,66
ตำแตง,2,101,202
ข้าวจี่,4,98,392
ข้าวเหนียว,2,127,254
ก้อยปลา,5,137,685
น้ำตกหมู,5,46,230
ข้าวจี่,2,82,164
ลาบหมู,1,77,77
ตำปู,3,96,288
ส้มตำ,4,118,472
ปลาดุกย่าง,2,79,158
น้ำตกหมู,1,145,145
แกงอ่อม,4,148,592
ตำไทย,2,100,200
หมูยอ,5,108,540
ลาบหมู,5,54,270
ตำแตง,3,142,426
หมกหน่อไม้,5,62,310
ส้มตำ,4,65,260
ตำปู,5,116,580
แจ่วบอง,1,52,52
น้ำตกหมู,1,58,58
ต้มแซ่บ,1,66,66
ปลาร้าบอง,2,40,80
ตำแตง,1,117,117
ก้อยปลา,5,94,470
ไส้กรอกอีสาน,2,118,236
แจ่วบอง,1,39,39
ปลาร้าบอง,2,58,116
หมกหน่อไม้,4,84,336
ซุปหน่อไม้,1,34,34
ปลาดุกย่าง,2,55,110
หมกหน่อไม้,2,34,68
น้ำตกหมู,1,119,119
น้ำตกหมู,2,48,96
ต้มแซ่บ,3,43,129
ซุปหน่อไม้,3,87,261
ซุปหน่อไม้,5,36,180
ไก่ย่าง,3,142,426
ปลาดุกย่าง,1,107,107
ข้าวจี่,5,69,345
ลาบหมู,1,136,136
หมูยอ,4,133,532
ก้อยปลา,1,101,101
แกงอ่อม,3,104,312
ปลาร้าบอง,5,90,450
น้ำตกหมู,5,142,710
น้ำตกหมู,5,119,595
ตำไทย,3,68,204
ส้มตำ,4,45,180
ตำไทย,4,49,196
หมกหน่อไม้,3,107,321
ไส้กรอกอีสาน,4,35,140
ซุปหน่อไม้,4,126,504
ตำไทย,1,139,139
ข้าวเหนียว,5,68,340
แหนม,1,106,106
หมูยอ,3,119,357
ปลาดุกย่าง,5,43,215
ไก่ย่าง,4,87,348
ตำไทย,2,123,246
ข้าวจี่,3,103,309
น้ำตกหมู,5,134,670
ปลาดุกย่าง,1,110,110
ข้าวจี่,4,32,128
แกงอ่อม,4,144,576
ปลาดุกย่าง,4,125,500
หมูยอ,2,137,274
ไก่ย่าง,3,75,225
ตำแตง,4,102,408
แหนม,2,93,186
น้ำตกหมู,4,32,128
ก้อยปลา,3,110,330
แหนม,1,38,38
ลาบหมู,2,118,236
ข้าวเหนียว,5,121,605
ลาบหมู,1,116,116
ไส้กรอกอีสาน,1,141,141
ปลาดุกย่าง,5,116,580
ส้มตำ,2,115,230
ไส้กรอกอีสาน,4,123,492
ตำแตง,2,148,296
ไส้กรอกอีสาน,4,91,364
ข้าวจี่,1,36,36
หมูยอ,3,49,147
ตำปู,5,108,540
แกงอ่อม,3,126,378
ตำปู,1,77,77
ตำปู,5,137,685
ตำปู,5,83,415
น้ำตกหมู,5,83,415
ตำไทย,3,68,204
ตำปู,2,118,236
ตำไทย,5,36,180
ส้มตำ,1,96,96
ส้มตำ,3,114,342
ตำปู,2,74,148
ไส้กรอกอีสาน,5,40,200
ลาบหมู,5,92,460
หมกหน่อไม้,1,64,64
ไส้กรอกอีสาน,1,34,34
แกงอ่อม,5,137,685
ไก่ย่าง,5,144,720
ตำไทย,5,54,270
ก้อยปลา,2,64,128
ไส้กรอกอีสาน,5,75,375
ก้อยปลา,1,142,142
หมูยอ,2,96,192
ต้มแซ่บ,1,112,112
ส้มตำ,2,65,130
ต้มแซ่บ,5,96,480
หมกหน่อไม้,1,109,109
ต้มแซ่บ,1,138,138
ข้าวจี่,2,57,114
ข้าวเหนียว,2,91,182
ไก่ย่าง,4,119,476
ซุปหน่อไม้,3,144,432
ปลาร้าบอง,3,125,375
ข้าวจี่,5,142,710
ปลาดุกย่าง,5,94,470
ปลาดุกย่าง,2,118,236
ไส้กรอกอีสาน,4,84,336
แกงอ่อม,3,105,315
ปลาดุกย่าง,1,45,45
ลาบหมู,5,90,450
ปลาร้าบอง,2,77,154
ลาบหมู,4,148,592
ก้อยปลา,2,58,116
ตำไทย,5,76,380
ปลาดุกย่าง,5,68,340
ลาบหมู,1,70,70
แจ่วบอง,1,112,112
ไก่ย่าง,2,60,120
หมกหน่อไม้,3,134,402
ตำแตง,2,75,150
ปลาร้าบอง,3,48,144
แกงอ่อม,2,50,100
ซุปหน่อไม้,2,83,166
